name,path,type
temperature_fahrenheit,/weather/current_observation/temp_f,number
humidity,/weather/current_observation/relative_humidity,percent
wind_mph,/weather/current_observation/wind_mph,number
miles_of_visibility,/weather/current_observation/visibility_mi,number
weather_description,/weather/current_observation/icon,string
distance_0,/traffic/resourceSets[0]/resource[0]/travelDistance,number
duration_0,/traffic/resourceSets[0]/resource[0]/travelDuration,number
duration_traffic_0,/traffic/resourceSets[0]/resource[0]/travelDurationTraffic,number
num_of_legs_in_route_0,/traffic/resourceSets[0]/resource[0]/routeLegs,size_of_array
distance_1,/traffic/resourceSets[1]/resource[1]/travelDistance,number
duration_1,/traffic/resourceSets[1]/resource[1]/travelDuration,number
duration_traffic_1,/traffic/resourceSets[1]/resource[1]/travelDurationTraffic,number
num_of_legs_in_route_1,/traffic/resourceSets[1]/resource[1]/routeLegs,size_of_array
distance_2,/traffic/resourceSets[2]/resource[2]/travelDistance,number
duration_2,/traffic/resourceSets[2]/resource[2]/travelDuration,number
duration_traffic_2,/traffic/resourceSets[2]/resource[2]/travelDurationTraffic,number
num_of_legs_in_route_2,/traffic/resourceSets[2]/resource[2]/routeLegs,size_of_array
distance_west_3,/traffic/resourceSets[3]/resource[3]/travelDistance,number
duration_west_3,/traffic/resourceSets[3]/resource[3]/travelDuration,number
duration_traffic_3,/traffic/resourceSets[3]/resource[3]/travelDurationTraffic,number
num_of_legs_in_3,/traffic/resourceSets[3]/resource[3]/routeLegs,size_of_array
